complaint,station,category,priorityLevel
"After college events, the venue is never cleaned properly. Next day students find leftover food, plastic, and mess everywhere.",Hostel,Cleanliness,Medium
"The professor takes attendance and then leaves after 10 minutes. But if students do the same, they lose marks. The double standard is very frustrating.",Classroom,Ragging,Medium
Hostel: Notices are not received properly.,Hostel,Other,Low
"Pedestrian Area: The washrooms in this college are in a terrible condition. All the toilet stalls in girls washroom of D block have broken flush handles you have to manually pour water or just leave it. The floor is perpetually wet creating a slipping hazard. There are no soap dispensers. The cleaning is done only once in the morning, after which the condition deteriorates rapidly through the day. By afternoon it's genuinely unbearable. This is a health and hygiene issue that directly affects girl students every single day. Please set up a proper cleaning schedule and maintenance team.",Pedestrian,Cleanliness,Low
"The building infrastructure of this college is quite poor for the fees we pay. Broken benches, non-functional lights in corridors, leaking roofs during rain, broken washroom doors these are basic things that should be maintained regularly. In one of our classrooms, two of the three ceiling fans don't work. In Mumbai heat, sitting in a hot classroom with one fan for 60 students is unbearable. Please allocate budget for proper maintenance. Students deserve a functional learning environment.",Classroom,Infrastructure,High
Our professor regularly humiliates students in class when they give wrong answers. This is not a teaching method; it kills students' confidence and creates fear.,Classroom,Ragging,Medium
There is no AC in the library.,Library,Technical Issues,Low
Hostel: The washroom lock is broken.,Hostel,Infrastructure,Medium
"Hostel corridor cleaning happens only on weekends. Within 5 days, the corridor becomes so dirty that walking there becomes uncomfortable.",Hostel,Cleanliness,Low
Classroom: Declaration page for every submission of every subject.,Classroom,Academics,Low
Classroom: During MSE exams submission portal crashed and many students couldn't upload on time. Who takes responsibility for technical failure?,Classroom,Technical Issues,Low
Classroom: Computer lab booking system is manual we have to physically go and check availability. An online booking system would save so much time.,Classroom,Technical Issues,Low
"Classroom: ITI students sometimes get better practical training than us. We are doing engineering, but we never learn how to build anything. Everything is theoretical. Physics, maths, theory, theory, theory. When will we become industry-ready? When we go to companies for interviews, we realize how large the gap is. It is the college's responsibility to prepare us, and this college is completely failing in this matter.",Classroom,Academics,Low
faculty ne publicly insult kiya.,Classroom,Ragging,Medium
Hostel: Is this what we get for 60 rupees?,Hostel,Mess/Food,Low
"Seriously, these days studying in college has become torture. Monday test, Tuesday assignment submission, Wednesday practical, Thursday ISA—when can we breathe? And what the professor teaches is also outdated. Industry is asking for something else, while we are learning something different here. Then placement time comes, and we do not understand what to do. The college has provided no roadmap and no mentoring; only attendance is counted. This is so demoralizing.",Classroom,Academics,Low
Hostel: Is this what we get for 60 rupees?,Hostel,Mess/Food,Low
"Classroom floors are swept but not mopped. Sticky floors, stains, and marks everywhere. Proper floor cleaning with disinfectant is required.",Classroom,Cleanliness,Low
A professor repeatedly rejects a student's assignment without a proper reason and publicly embarrasses them. It seems like targeted harassment.,Classroom,Ragging,High
Classroom: No hand sanitizers or soap available in washrooms. During flu season this is a major hygiene risk for everyone in the college.,Classroom,Cleanliness,Low
There is a pattern of behavior from one particular professor that I want to report formally. He regularly singles out students who don't have 100% attendance and threatens them in front of the class. He uses sarcastic and demeaning language. Girls especially have complained of feeling uncomfortable in his classes. On multiple occasions he has made comments that were inappropriate and humiliating. This is not discipline this is harassment. Several students have already stopped attending his classes out of fear. Please investigate and act.,Classroom,Ragging,High
Classroom: The gap between what this college teaches and what industry actually needs is HUGE. I went for internship interviews and realized I didn't know half the things they were asking. My college just focuses on rote learning and attendance. Where is the practical exposure? Where is the mentorship? The placement record of this college is declining every year and no one is taking responsibility. Students who work hard are still unemployed because the college failed to prepare them. This is not acceptable.,Classroom,Academics,Low
Hostel: The canteen is very expensive.,Hostel,Mess/Food,Low
Classroom: Please remove the Monday test.,Classroom,Academics,Low
Classroom: The lab PC cannot be logged into.,Classroom,Technical Issues,Low
"A professor is biased toward a particular student group, gives marks to favorites, and treats the others unfairly. This is discrimination.",Classroom,Ragging,High
Main Gate: The college app crashes frequently and has a very outdated UI. Assignment submissions through the app often fail. Please update or replace it.,Main Gate,Other,Low
"Our professor doesn't allow students to leave class even during emergencies. When a student requested washroom break urgently, he refused. This is inhumane.",Classroom,Ragging,Medium
"Hostel: Vending machine near the canteen has been out of order for 3 weeks now. After 5pm when canteen closes, students have no food/snack option. Please fix it.",Hostel,Other,Low
"The main gate area gets very crowded during dismissal time. No crowd management, no designated exit paths. Accident prone situation.",Main Gate,Infrastructure,High
"Faculty members themselves do not know what to teach. One professor taught the wrong concept, and when it was pointed out, they showed a bad attitude. Unacceptable.",Classroom,Academics,Low
"Hostel: Canteen staff is rude when you ask for extra roti or point out something wrong with the food. We are customers, treat us with respect.",Hostel,Mess/Food,Low
Pedestrian Area: There is no proper parking.,Pedestrian,Infrastructure,Low
Classroom: The practical lab sessions have no real experiments. We just copy from manual and submit. Where is the actual learning happening?,Classroom,Academics,Low
Pedestrian Area: Using old school software and teaching methods. Also sometimes the syllabus feels outdated.,Pedestrian,Academics,Low
Library: The water from the dispenser does not taste well like normal water.,Library,Other,Low
"Main Gate: Alumni network is completely inactive. No mentorship program, no networking events, no job referral system through alumni.",Main Gate,Other,Low
Classroom: A student was asked by senior to share their assignment for 'reference' and was threatened that they'd be made uncomfortable otherwise. Clear coercion.,Classroom,Ragging,High
The seating capacity in the mess is way too small for the number of students. We end up eating standing or rushing back to class hungry.,Hostel,Mess/Food,Low
"Classroom: Multiple systems in lab M411 and M312 are non-functional. Some don't boot, some freeze during work, and some have login issues where it doesn't recognize student IDs. We have practicals to complete with deadlines and we can't work because the computers are broken. This has been reported multiple times but nothing has been fixed. How are we expected to learn if the tools aren't working? The labs need urgent maintenance.",Classroom,Technical Issues,Medium
"Library: Vending machine accepts only exact change no change given back, no card/UPI. This is 2026, please upgrade the machine.",Library,Other,Low
Classroom: Monday Tests are unnecessary and keeps our schedule hectic.,Classroom,Academics,Low
"Hostel: The floor drainage system in the D block washroom is faulty. Water remains on the floor and makes it slippery. A student has already slipped there. This is waiting for an accident to happen. The flush also does not work properly. There is no soap. Overall, the washroom condition is very unhygienic. Please send the maintenance team to the D block washrooms on priority. This is a safety and hygiene emergency.",Hostel,Infrastructure,High
Classroom: The lab benches remain dirty.,Classroom,Cleanliness,Low
Classroom: Why is 100% attendance compulsory?,Classroom,Academics,Low
"Classroom: I've been drinking from the water dispenser in A block for months and recently realized the taste has been off for a while slightly metallic and stale. I think the dispenser hasn't been cleaned or serviced in a long time. We don't have any other water source during college hours. If the water quality is bad, students could get sick. Please get the water tested from a lab and service all dispensers on campus at least once a month. This is a basic health necessity.",Classroom,Other,Low
Hostel: No nutritional value in the food being served. Engineering students need proper fuel to study. You can't run on watery dal and thin chapati.,Hostel,Mess/Food,Low
Hostel: High range for low quality of food.,Hostel,Mess/Food,Low
"Classroom: Attendance policy is draconian. Even if you're sick, you lose marks. College should understand students are human beings, not machines.",Classroom,Academics,Low
Classroom: The water does not taste good.,Classroom,Other,Low
"Library: The condition of girls' washrooms across all blocks is extremely poor. Door locks are broken in most stalls. We either have to wait for the one working stall or ask someone to hold the door from outside which is embarrassing and time-consuming. During break time, there's a huge queue for just one functional washroom. Additionally, there's no proper liquid soap dispenser just a random sprite bottle with a hole. This is a basic hygiene necessity. Please get the locks repaired and install proper dispensers urgently.",Library,Infrastructure,Medium
Classroom: Many system is not working in Lab M312.,Classroom,Technical Issues,Medium
Classroom: Internet connection in D block labs is non-existent. We have to use our own mobile data for practicals. College should provide proper connectivity.,Classroom,Technical Issues,Low
"Classroom: Come to college for 5 days, take a test on Monday, complete assignments, and do practicals. When are we supposed to develop skills? The college is only concerned with marks.",Classroom,Academics,Low
"The campus cleanliness situation is difficult to describe. The area outside the canteen has become a garbage dump. There is garbage in the corners of the stairs, dustbins are overflowing, and the road outside is also littered. Students are certainly responsible too, but the cleaning staff is not visible on campus during the day. There should be one responsible person who ensures that the campus stays clean throughout the day. Organize a campus cleanliness drive on Sunday and involve students too. Something needs to be done.",Pedestrian,Cleanliness,Low
Pedestrian Area: No bicycle parking area in college. Students who cycle to college have to leave them anywhere. Proper cycle stand should be provided.,Pedestrian,Other,Low
Classroom: Sir gives extra marks to students who are on his good side regardless of answer quality. This partiality demotivates genuinely hardworking students.,Classroom,Ragging,Medium
"Hostel: College canteen menu has no options for students with dietary restrictions no gluten-free, no jain food options mentioned anywhere.",Hostel,Other,Low
"Classroom: The ISA marks are directly affecting our SGPA. If something goes wrong in one test, the whole semester is affected. This system needs to change.",Classroom,Academics,Low
"There has been no AC in the library for months. Studying in the heat has become impossible. There are books and seats, but no AC—what is the point?",Library,Technical Issues,Low
Hostel: The paneer is watery.,Hostel,Mess/Food,Low
Library: The internet is very slow.,Library,Technical Issues,Low
Hostel: There is no support for students who live far away.,Hostel,Other,Low
Classroom: Half of the computers in Lab M312 do not work. Either they do not boot or the login fails. How are we supposed to complete practicals?,Classroom,Technical Issues,Low
"Professors come to class, explain one thing, and leave. Do they check whether students understood? No. Was the assignment given and checked? No. Then if the exam result is poor, it is the students' fault. There is no accountability for teachers in this college. And attendance? They have zero accountability, but we are required to maintain 75%. This is completely unfair.",Classroom,Academics,Low
"College WhatsApp groups are full of spam promotional messages, surveys, irrelevant forwards. It's so hard to find important messages in all this noise.",Hostel,Other,Low
Classroom: Not having good placements or opportunities.,Classroom,Academics,Low
Classroom: The iMac lab remains locked for students.,Classroom,Technical Issues,Low
"Classroom: TONS OF ASSIGNMENTS AND UNNCESSARY STUFF IN SYLLABUS, no access in the iMac lab so what's the point of those pricey hardware which goes unused, and we can't use the labs on our off-lab time/spare time to do and work on something, bad wifi which just gives up sometimes, it mainly has issues with the login thingy, and no AC in the reading room is a big pain, the mens bathroom toilet gets clogged in D block mainly.",Classroom,Academics,Low
Hostel: The prices are very odd and might be too high for students the canteen doesn't have enough place to sit and eat.,Hostel,Mess/Food,Low
verbal abuse by faculty.,Classroom,Ragging,High
Water leakage in A block classrooms has been an issue since monsoon. Nothing has been repaired. The seepage is causing wall damage now too.,Classroom,Infrastructure,Medium
Classroom: 100 percent attendance.,Classroom,Academics,Low
"The language problem is serious in college. For students from outside Maharashtra, Marathi-medium faculty are a major barrier. Some professors teach the entire class in Marathi and speak only one line in English at the end. Non-Marathi students remain completely lost throughout the lecture. The teaching medium should be English or Hindi as per university guidelines. Please enforce this properly.",Classroom,Other,Low
The teacher used abusive language in class.,Classroom,Ragging,Medium
"Library: Alumni network is completely inactive. No mentorship program, no networking events, no job referral system through alumni.",Library,Other,Low
"Classroom: Network speed during peak hours (10am-12pm) drops to almost nothing. Too many users, not enough bandwidth. Upgrade the network capacity.",Classroom,Technical Issues,Low
Hostel: The canteen is very expensive.,Hostel,Mess/Food,Low
Hostel: food quality very poor.,Hostel,Mess/Food,Low
Classroom: outside college area littered.,Classroom,Cleanliness,Low
Hostel: The canteen does not accept UPI.,Hostel,Mess/Food,Low
Main Gate: There is no formal grievance cell that students can approach with issues. No transparency about what happens to complaints once raised.,Main Gate,Other,Low
There is no ac in vit library due to which it feels irritated while studying.,Library,Technical Issues,Low
Main Gate: Outside the college campus the road is very uneven and not safe. Students walking from the gate to bus stop are at risk especially after dark.,Main Gate,Infrastructure,Low
Lectures and practicals are ineffective.,Classroom,Academics,Low
"Classroom: The robotics minor course is a complete joke. They said we'll learn robotics but we haven't touched a single hardware component. Just MATLAB on a laptop. No Arduino, no sensors, no robots. Meanwhile they still want 75% attendance. Why should I attend classes that teach me nothing practical? IIT students do actual robotics. Here we are just watching videos and submitting reports. If you can't provide proper resources, don't offer the course. It's misleading.",Classroom,Academics,Low
There is sometimes a suspicion of adulteration in the food. The quality is so poor that the taste genuinely seems suspicious. Conduct health checks on the mess food.,Hostel,Mess/Food,Medium
Hostel: Poor food quality resulting to frequent stomach related health concerns.,Hostel,Mess/Food,Low
Classroom: The lab PC cannot be logged into.,Classroom,Technical Issues,Low
Classroom: outside college area littered.,Classroom,Cleanliness,Low
"The Food In Mess Is Blunt, Tasteless It Can Definitely be Improved Also Sitting Capacity Really Needs To Be Increased As Students Needs To Wait So Long That Eventually The Appear Late In There Lectures Which Are After The Lunch. Also Waiting Causes So Much Inconvenience To The students.",Hostel,Mess/Food,Medium
Classroom: The ISA weighting in SGPA is so high that one sick student's entire semester can be ruined. There is no flexibility for genuine cases.,Classroom,Academics,Low
The professor threatens to deduct attendance.,Classroom,Ragging,High
"Library: The WiFi situation in this college is honestly embarrassing. It barely works inside the building, and when it does, the speed is so slow that a simple Google search takes forever. The login system is a nightmare half the time the login page doesn't even load, and when it does, you get disconnected every few minutes. How are students supposed to do research, complete online assignments, or access learning resources? In 2026, a college that can't provide decent internet is a serious problem. Please invest in proper networking infrastructure.",Library,Technical Issues,Low
The professor humiliated a student in class.,Classroom,Ragging,Medium
Library: The college notice boards are broken and papers fall off constantly. Small thing but makes the whole environment look neglected.,Library,Infrastructure,Medium
"Hostel: The canteen's seating capacity MUST be increased. More than 200 students come for lunch at the same time, but there is seating for only 50 people. It is a simple capacity problem.",Hostel,Mess/Food,Low
Hostel: Dustbins on campus are overflowing since morning. No one empties them. By afternoon the garbage is spilling onto the floor. Please increase cleaning frequency.,Hostel,Cleanliness,Low
Pedestrian Area: There is no transport facility in the college.,Pedestrian,Other,Low
Pedestrian Area: parking nahi hai proper.,Pedestrian,Infrastructure,Low
"Classroom: ISA marks affect the SGPA, and this is unfair.",Classroom,Academics,Low
There is a language barrier in lectures.,Classroom,Other,Low
Hostel: Corridor near the labs smells musty probably from water leakage and no ventilation. Proper exhaust fans or cleaning needed.,Hostel,Cleanliness,Low
"Classroom: I've been drinking from the water dispenser in A block for months and recently realized the taste has been off for a while slightly metallic and stale. I think the dispenser hasn't been cleaned or serviced in a long time. We don't have any other water source during college hours. If the water quality is bad, students could get sick. Please get the water tested from a lab and service all dispensers on campus at least once a month. This is a basic health necessity.",Classroom,Other,Low
"Classroom: Rugved Deolekar Sir unnecessarily bullying on a nominal issue of Id card . Its ok u are advising us to wear ids but instead of advising he bullies students talking disrespectfully to students and specially girls . This can lead to further disturbance and verbal argument outside the college also, if he maintains his rude tone and bullying.",Classroom,Ragging,Medium
Classroom: The pressure of maintaining 75% attendance while also doing internships and projects is impossible to balance. College needs to modernize its policies.,Classroom,Academics,Low
College events are held on weekdays during college hours this disturbs regular lectures and students suffer. Schedule events on weekends or free periods.,Classroom,Other,Low
Classroom: Not focusing on students improvement but torturing students for attendance.,Classroom,Academics,Low
Classroom: The lab benches remain dirty.,Classroom,Cleanliness,Low
